path	media_lines	starvoice_lines	matched_lines	ratio	byte_identical
sidebar/platform-config.js	8	8	8	1.00000000	True
sidebar/renderers/douyin.js	31	31	31	1.00000000	True
sidebar/renderers/xiaohongshu.js	31	31	31	1.00000000	True
utils/capture/adapters/xiaohongshu/index.js	59	59	59	1.00000000	True
utils/capture/shared/detail-dom.js	215	215	215	1.00000000	True
utils/capture/shared/dom-locator.js	240	240	240	1.00000000	True
utils/platform/dom-profiles/index.js	13	13	13	1.00000000	True
utils/platform/dom-profiles/xiaohongshu.js	74	74	74	1.00000000	True
utils/platform/shared-policy.js	17	17	17	1.00000000	True
utils/platform/sync-router.js	118	118	118	1.00000000	True
utils/task-context.js	170	170	170	1.00000000	True
utils/capture/keyword-expansion.js	3070	3069	3067	0.99918554	False
utils/auth-code.js	124	124	123	0.99193548	False
utils/selectors.js	611	621	610	0.99025974	False
utils/capture/index.js	311	309	306	0.98709677	False
sidebar/renderers/common.js	270	256	256	0.97338403	False
utils/platform/dom-profiles/douyin.js	391	373	369	0.96596859	False
utils/capture/stage-diagnostics.js	284	291	275	0.95652174	False
utils/capture/adapters/douyin/index.js	77	70	70	0.95238095	False
utils/helpers.js	539	586	531	0.94400000	False
utils/platform/record-envelope.js	283	312	277	0.93109244	False
utils/capture/douyin-comments.js	4818	5377	4668	0.91574301	False
utils/capture/keyword-search.js	1771	2024	1682	0.88642951	False
utils/capture-settings.js	495	505	443	0.88600000	False
utils/capture/blogger.js	1760	1594	1478	0.88133572	False
sidebar/state.js	566	606	501	0.85494881	False
utils/capture/douyin-interceptor.js	462	388	357	0.84000000	False
utils/platform/page-routing.js	176	224	167	0.83500000	False
utils/capture/single-note.js	2228	2624	1995	0.82234130	False
utils/platform/registry.js	404	421	332	0.80484848	False
sidebar/platform-registry.js	17	11	11	0.78571429	False
utils/scroll.js	608	832	556	0.77222222	False
utils/content-page-state.js	558	438	381	0.76506024	False
sidebar/sidebar-ui.js	4033	3442	2853	0.76334448	False
utils/capture/douyin-blogger.js	1440	1826	1236	0.75688916	False
utils/constants.js	323	262	219	0.74871795	False
utils/capture/douyin-keyword-search.js	1600	2043	1350	0.74114741	False
utils/capture/douyin-single-note.js	7217	5796	4763	0.73203719	False
utils/capture/comments.js	1113	1018	733	0.68793993	False
utils/features/registry.js	2512	1187	1129	0.61043525	False
utils/diagnostics.js	662	1029	491	0.58072147	False
utils/storage.js	1816	1206	751	0.49702184	False
utils/api.js	1680	1045	625	0.45871560	False
sidebar/sidebar-logic.js	7527	31288	4308	0.22197604	False
content-v2.js	488	2164	292	0.22021116	False
background.js	2808	16192	496	0.05221053	False
utils/capture-sync.js	7	20432	4	0.00039141	False
content-loader.js	8	8	0	0.00000000	False
